abs_first_discharge_capacity_difference_cycles_2:100,abs_kurtosis_discharge_capacity_difference_cycles_2:100,abs_mean_discharge_capacity_difference_cycles_2:100,abs_min_discharge_capacity_difference_cycles_2:100,abs_skew_discharge_capacity_difference_cycles_2:100,abs_variance_discharge_capacity_difference_cycles_2:100,charge_time_cycles_1:5,discharge_capacity_cycle_100,discharge_capacity_cycle_2,integrated_time_temperature_cycles_1:100,intercept_discharge_capacity_cycle_number_2:100,intercept_discharge_capacity_cycle_number_91:100,max_discharge_capacity_difference,max_temperature_cycles_1:100,min_temperature_cycles_1:100,nominal_capacity_by_median,slope_discharge_capacity_cycle_number_2:100,slope_discharge_capacity_cycle_number_91:100,capacity_0.8,capacity_0.83,capacity_0.86,capacity_0.89,capacity_0.92,capacity_0.95,capacity_0.98
-3.309824012313473,1.867027981692003,-2.7428591200248187,-0.44680629485828904,0.5847754492806106,-3.16699189126899,5760.0,1.032,1.03,306697.58829142264,1.0729088847660275,1.0319999999999983,1.035,18.458999633789062,15.15999984741211,1.033,-0.0005947433518861992,1.217792177277779e-17,4550.0,4550.0,4550.0,4550.0,506.0,506.0,506.0
-3.019407522889909,2.3498156613983743,-2.648705932435687,-0.20877572651236104,0.9938814458213271,-3.0567586194501404,5785.60009765625,1.042,1.04,296427.4028991698,1.0838785817357248,1.0420000000000005,1.0430000000000001,16.70599937438965,15.281000137329102,1.044,-0.0006026221397649963,-5.691577790498365e-18,3552.0,3552.0,3552.0,3552.0,3552.0,506.0,506.0
-2.312773533726133,1.6943745278730689,-1.9175938003625583,-0.19563143967312835,0.6558821771332134,-2.4783959348851967,5811.2001953125,1.03,1.03,262556.75055948895,1.0709901051329622,1.0299999999999978,1.0290000000000001,20.87700080871582,15.107000350952148,1.031,-0.0005955596784168197,1.7273244192892202e-17,3760.0,3760.0,3760.0,3760.0,506.0,506.0,506.0
-2.677881946724652,1.4958496636317908,-2.0764204120958016,-0.6317302807027921,0.05725572713495488,-2.9815887316133054,5785.60009765625,1.025,1.029,268508.7274637858,1.068649556792414,1.0249999999999997,1.0260000000000002,22.084999084472656,15.305999755859375,1.028,-0.0006255163883735249,1.943125253218128e-18,3753.0,3753.0,3753.0,3753.0,506.0,506.0,506.0
-2.0054432992585305,0.39344466521503435,-1.6827986020498538,-0.1893985483034041,-0.22013198742253,-1.2911940505628303,5785.60009765625,1.0590000000000002,1.067,614925.4964558918,1.1110375180375183,1.0683636363636342,1.074,25.66900062561035,24.084999084472656,1.067,-0.0007239826839826793,-9.696969696967632e-05,3049.0,3049.0,3049.0,3049.0,207.0,207.0,207.0
-2.3800077072413055,1.233238276972854,-1.920130996032071,-0.3668084253058643,0.5471623181383904,-2.3687805282569236,5785.60009765625,1.029,1.032,460906.1940877278,1.0724452690166977,1.0290000000000012,1.032,26.684999465942383,24.39299964904785,1.032,-0.0006258750773036437,-1.6417115735734836e-17,3544.0,3544.0,3544.0,3544.0,506.0,506.0,506.0
-2.5151111183887864,1.724766795173129,-2.2583755404565555,-0.14138660853487472,0.8129732796420873,-2.2891631028712287,5785.60009765625,1.035,1.035,460296.72376302094,1.0781449185734904,1.0493454545454561,1.038,25.985000610351562,23.910999298095703,1.038,-0.0006142115027829293,-0.0001454545454545634,3547.0,3547.0,3547.0,3547.0,506.0,506.0,506.0
-0.9430981863075796,0.7979356740034739,-2.145171862193445,-0.45552243164027056,-0.12387790943315406,-2.469690369846676,5785.60009765625,1.048,1.05,457406.0606526692,1.0915971964543396,1.0580363636363652,1.0480000000000003,24.902999877929688,23.81999969482422,1.051,-0.0006224489795918371,-0.00010303030303032118,3037.0,3037.0,3037.0,3037.0,3037.0,506.0,506.0
-0.8978191477757419,0.7125043061251509,-2.048116678919357,-0.5257658555799181,-0.12289917354280154,-2.473750693440459,5785.60009765625,1.047,1.0490000000000002,467247.9325317383,1.0902158317872608,1.0470000000000013,1.0479999999999998,26.083999633789062,24.058000564575195,1.0490000000000002,-0.0006224984539270228,-1.3819924235847929e-17,3037.0,3037.0,3037.0,3037.0,3037.0,506.0,471.0
-2.45174121477647,1.735858927918619,-2.3961348158356213,-0.489404617540423,0.7116918996430285,-3.078727265945826,5811.2001953125,1.03,1.036,394481.76109619136,1.073503401360544,1.039363636363634,1.0270000000000001,27.363000869750977,24.15399932861328,1.033,-0.0006227952999381486,-9.696969696967524e-05,3543.0,3543.0,3543.0,3543.0,506.0,506.0,479.0
-2.2452558701608023,1.4639758564258756,-2.3894330102730525,-0.7131550300614211,0.5790991516968049,-3.2003805822997626,5785.60009765625,1.026,1.03,0.0,1.0695943104514534,1.0259999999999976,1.027,,,1.029,-0.0006282498453926968,2.3007745679271494e-17,4049.0,4049.0,4049.0,4049.0,506.0,506.0,506.0
-1.8210361736483944,1.4059011679249358,-2.306444211947952,-0.6575837907049759,0.5991915668015405,-2.906430945168755,5811.2001953125,1.024,1.036,374946.3389770508,1.0740643166357455,1.033963636363636,1.0310000000000001,30.34600067138672,24.025999069213867,1.032,-0.0006934075448361145,-9.696969696969487e-05,207.0,207.0,207.0,207.0,207.0,207.0,207.0
-1.8444569796982795,1.529175259340453,-3.4155450846146302,-0.4807293599477462,0.185790931721369,-2.845598342395785,5760.0,1.031,1.048,377107.8720703125,1.0822510822510827,1.0437272727272724,1.0339999999999998,30.81999969482422,24.15399932861328,1.039,-0.0007110822510822505,-0.00012727272727272706,4061.0,207.0,207.0,207.0,207.0,207.0,207.0
-1.7624325936333327,1.1420652264937932,-2.504560394512787,-0.9955965920030541,0.10198139881630144,-3.5889740202523437,5785.60009765625,1.021,1.039,383545.417960612,1.0729921665635953,1.0351454545454548,1.027,31.93000030517578,24.465999603271484,1.03,-0.0007214594928880617,-0.00014545454545455405,208.0,208.0,208.0,208.0,208.0,208.0,208.0
-2.8575532998813626,0.4656650802103998,-1.1753795105638267,-0.06253542343554983,-0.30039423823129324,-1.14314952372701,5785.60009765625,1.043,1.062,378827.3556193033,1.094753865182437,1.0529636363636359,1.0439999999999998,30.652000427246094,24.017000198364258,1.051,-0.0007175015460729701,-9.696969696969485e-05,4061.0,205.0,205.0,205.0,205.0,205.0,205.0
-1.897728149122928,-0.12701212967638917,-2.7335288513960307,-1.897728149122928,-0.867055824922052,-4.552946776320378,5824.0,0.551,1.069,326905.4902547201,0.6578066378066378,0.5509999999999996,0.385,25.111000061035156,23.673999786376953,0.5589999999999999,-0.0015529004329004293,2.881785043536871e-18,7374.0,7374.0,7374.0,7374.0,7374.0,7374.0,7374.0
-1.7680861101673777,1.7851738592942554,-2.2680068044171855,-0.951845017729186,0.3686109994569397,-3.816699669080996,5824.0,0.5820000000000001,1.045,342046.12716064457,0.6857546897546898,0.5904181818181801,0.4530000000000003,24.99799919128418,23.610000610351562,0.5925,-0.001496103896103893,-8.484848484846723e-05,7441.0,7441.0,7441.0,7441.0,7441.0,7441.0,7441.0
-1.805975838705111,1.8937223309376894,-2.325799104254235,-0.8906719263854281,0.4913795194506122,-3.7198924275692864,5888.0,0.589,1.064,345449.76987711585,0.6936124510410225,0.5889999999999981,0.46099999999999985,24.97599983215332,23.60300064086914,0.598,-0.0015181076066790328,1.7871978883548567e-17,5944.0,5944.0,5944.0,5944.0,5944.0,5944.0,5944.0
-1.8243122656538227,1.395633876860782,-2.3650976691043,-1.1640748710307118,-0.21183185792021372,-4.248934045079904,5824.0,0.5870000000000001,1.047,341275.267203776,0.6879929911358484,0.5770363636363626,0.4510000000000003,24.992000579833984,23.434999465942383,0.596,-0.001474607297464442,9.696969696970652e-05,6591.0,6591.0,6591.0,6591.0,6591.0,6591.0,6591.0
-2.4910356028187217,0.5128948484077623,-3.8914182343444663,-2.4910356028187217,0.010515992480199469,-5.755607621414127,5824.0,0.66,1.053,245992.99607747397,0.7155458668315814,0.6600000000000006,0.0020000000000000018,28.538000106811523,24.42300033569336,0.66,-0.0008274829931972773,-8.171916868635896e-18,2958.0,2958.0,2958.0,2958.0,2958.0,2958.0,2958.0
-1.341496073226558,0.46166669788961373,-2.1170648359573407,-inf,0.3085049347985925,-3.8314408153648505,5824.0,0.22,1.07,152024.33723958337,0.33861183261183275,0.22000000000000017,0.0029999999999998916,24.889999389648438,23.472000122070312,0.22,-0.001767186147186148,-2.4764087698869917e-18,19174.0,19174.0,19174.0,19174.0,19174.0,19174.0,19174.0
-1.341496073226558,0.5997293776741338,-2.174746540581524,-inf,0.3437947373728223,-3.918367500124023,5824.0,0.22,1.0659999999999998,153234.50580240882,0.3381344052772625,0.22000000000000017,0.0030000000000001137,24.865999221801758,23.659000396728516,0.22,-0.0017600618429189857,-2.4764087698869917e-18,18165.0,18165.0,18165.0,18165.0,18165.0,18165.0,18165.0
-1.695898838637026,0.5853170690265641,-2.438591636168415,-1.695898838637026,0.3546515326939475,-4.656284367387062,5824.0,0.22,1.064,110629.90308837891,0.3378956916099773,0.22000000000000017,0.0029999999999998916,28.177000045776367,24.45800018310547,0.22,-0.0017564996907854038,-2.4764087698869917e-18,12627.0,12627.0,12627.0,12627.0,12627.0,12627.0,12627.0
-2.115661427281415,0.6857292021309628,-3.0576527804796574,-2.115661427281415,0.395764691892224,-5.498991931651652,5824.0,0.22,1.05,108479.43813476563,0.3362246959389819,0.22000000000000017,0.0029999999999998916,27.385000228881836,24.07900047302246,0.22,-0.0017315646258503434,-2.4764087698869917e-18,11620.0,11620.0,11620.0,11620.0,11620.0,11620.0,11620.0
0.0,0.0,0.0,0.0,0.0,0.0,5862.39990234375,1.058,1.0759999999999998,671446.6184977213,1.111917542774686,1.0703272727272717,1.067,36.07899856567383,33.27000045776367,1.067,-0.0007464316635745169,-0.00012727272727271888,3155.0,3155.0,3155.0,257.0,257.0,257.0,234.0
0.0,0.0,0.0,0.0,0.0,0.0,5862.39990234375,1.027,1.046,655294.5965738931,1.07887136672851,1.0369636363636359,1.031,36.064998626708984,33.433998107910156,1.036,-0.0007150030921459483,-9.696969696969628e-05,3341.0,3341.0,257.0,257.0,257.0,257.0,241.0
0.0,0.0,0.0,0.0,0.0,0.0,5862.39990234375,1.037,1.057,658224.9792154946,1.091626262626263,1.051145454545455,1.0470000000000002,35.13356399536133,35.13356399536133,1.047,-0.0007527272727272732,-0.0001454545454545559,3341.0,3341.0,257.0,257.0,257.0,126.0,125.0
