abs_first_discharge_capacity_difference_cycles_2:100,abs_kurtosis_discharge_capacity_difference_cycles_2:100,abs_mean_discharge_capacity_difference_cycles_2:100,abs_min_discharge_capacity_difference_cycles_2:100,abs_skew_discharge_capacity_difference_cycles_2:100,abs_variance_discharge_capacity_difference_cycles_2:100,charge_time_cycles_1:5,discharge_capacity_cycle_100,discharge_capacity_cycle_2,integrated_time_temperature_cycles_1:100,intercept_discharge_capacity_cycle_number_2:100,intercept_discharge_capacity_cycle_number_91:100,max_discharge_capacity_difference,max_temperature_cycles_1:100,min_temperature_cycles_1:100,nominal_capacity_by_median,slope_discharge_capacity_cycle_number_2:100,slope_discharge_capacity_cycle_number_91:100,capacity_0.8,capacity_0.83,capacity_0.86,capacity_0.89,capacity_0.92,capacity_0.95,capacity_0.98
-0.5818821655786524,0.09122696218078287,-0.6529022962813864,-0.5565546108195362,-0.1985575619868176,-2.537839172276561,1920.0,2.619,2.911,358190.73931477853,2.9920115151515154,2.878018181818185,2.8169999999999997,30.881000518798828,16.41900062561035,2.824,-0.004212505250525059,-0.002618181818181853,521.0,257.0,190.0,144.0,108.0,77.0,38.0
-0.7180777476994146,0.08935215849752537,-0.8219696002871234,-0.7053986215725427,-0.25258413732594553,-2.7278581890038858,1920.0,2.662,2.895,282382.8011739095,2.9529527272727276,2.8284909090909074,2.7950000000000004,19.85099983215332,15.9399995803833,2.8,-0.0035079747974797416,-0.0016909090909090847,257.0,257.0,257.0,232.0,156.0,102.0,49.0
-0.7056825999518774,0.8526726594685324,-1.1077770267627738,0.14882629059494148,0.3215650697274273,-1.1157991357836907,1971.199951171875,2.543,2.87,344613.3071248372,2.9627915151515145,2.9040363636363686,2.5140000000000002,47.819000244140625,16.600000381469727,2.799,-0.0044958715871587064,-0.003636363636363693,255.0,205.0,158.0,119.0,91.0,69.0,47.0
-0.6008253940834372,0.18300297623416809,-1.070568572595696,0.4144433023101719,-0.3341052796024625,-0.10045241330303119,1996.800048828125,2.56,2.901,344373.99907023116,2.9607478787878776,2.863272727272734,2.4350000000000005,48.04100036621094,16.5,2.798,-0.004436393639363921,-0.003072727272727346,783.0,233.0,175.0,130.0,94.0,69.0,45.0
-0.835341713167421,0.10153843092736688,-0.5371243307152168,0.23044044636350489,0.18828311303457332,-0.19560142328336438,1984.0,2.901,3.161,1130774.0028361003,2.983096067593865,1.2421090909090882,0.0,32.91299819946289,27.773000717163086,3.0095,-0.0014046601965892254,0.014957575757575786,4.0,4.0,4.0,4.0,4.0,4.0,4.0
-1.716600721970622,0.09238248182870366,-0.7758280040385134,0.4722609648357547,-0.1296255340572896,-0.042872760056057835,1971.199951171875,2.825,3.158,683435.3928995768,3.278149696969696,3.119000000000003,3.119,31.29800033569336,26.628000259399414,3.0860000000000003,-0.005005340534053382,-0.0030000000000000313,134.0,134.0,134.0,134.0,94.0,74.0,44.0
-0.7395082611933852,1.2293690434021751,-0.8321304404163048,-0.014987545961531634,0.46367303764030854,-1.47831259848092,1920.0,2.8710000000000004,3.143,521140.9310384115,3.172549696969697,3.0026000000000015,3.0010000000000003,36.04999923706055,25.17099952697754,3.005,-0.0037764296429643046,-0.0013333333333333552,653.0,257.0,257.0,232.0,171.0,113.0,49.0
-0.754701387743394,1.319526556320513,-0.6746606766213965,0.04616702089644369,0.5493812413015515,-1.3533986530195625,1945.5999755859375,2.849,3.12,489470.0268798828,3.145919393939393,3.0921454545454483,2.9699999999999998,32.757999420166016,24.53499984741211,2.9805,-0.0037162256225622297,-0.002478787878787826,521.0,521.0,257.0,216.0,145.0,109.0,49.0
-0.6959697308334192,1.3249611091683287,-0.7314195237065612,0.1060050737509213,0.5707661984830357,-1.1644822275726363,1920.0,2.9160000000000004,3.157,544351.8443155924,3.2289636363636354,3.108072727272719,3.064,37.525001525878906,25.268999099731445,3.064,-0.003717299729972994,-0.0019393939393938617,521.0,257.0,242.0,190.0,147.0,102.0,54.0
-0.6713861924223682,1.2643519737327766,-0.6594518810391432,-0.3669467174166732,0.6225925175669015,-1.3775477900440822,1920.0,2.892,3.138,508769.634383138,3.202716363636364,3.133727272727268,3.042,37.88600158691406,25.327999114990234,3.0375,-0.0037670567056705597,-0.0025272727272726858,257.0,257.0,257.0,202.0,156.0,95.0,51.0
-0.7143638480504418,0.8735928748425165,-0.7641118365482399,0.28846446171571793,-0.7977389735812986,-0.6429468766709656,1920.0,2.842,3.116,501730.25167236326,3.1847496969696962,3.108054545454545,2.919,50.12900161743164,24.993000030517578,3.014,-0.003927122712271211,-0.002721212121212122,785.0,257.0,232.0,161.0,124.0,90.0,55.0
-0.7982159727547963,0.6255523172435179,-1.040878984322216,0.23302810312586872,-0.5916195972924999,-0.673963056969401,1945.5999755859375,2.772,3.116,434627.29231363925,3.068293333333332,2.914854545454544,2.7419999999999995,41.49700164794922,24.802000045776367,2.9025,-0.0036446204620461885,-0.001454545454545442,785.0,785.0,257.0,257.0,191.0,110.0,54.0
-1.1999703946133704,0.3389272087298381,-1.2261378598179316,0.2815101510816149,-0.9239300994324834,-0.4360853463521632,1971.199951171875,1.956,3.145,436994.1761189778,2.265475757575757,2.0183636363636404,1.5799999999999996,30.9060001373291,27.731000900268555,2.0125,-0.004150213021302125,-0.0006303030303030723,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0,1159.0
-1.3288276871414686,0.4384949093534055,-1.4404615992355465,0.2811873472195757,-0.9211091721968474,-0.4875409118480806,1971.199951171875,1.967,3.165,448184.8727294922,2.2633290909090906,1.9939454545454527,1.5620000000000003,31.496999740600586,27.766000747680664,2.0105,-0.004084734473447331,-0.0002787878787878653,1293.0,1293.0,1293.0,1293.0,1293.0,1293.0,1293.0
-1.3506648626943005,0.4883484365875947,-1.42281282651957,0.256648832767202,-1.012126152577695,-0.5776454464375632,1945.5999755859375,1.955,3.16,431550.0596232096,2.258387878787878,2.010018181818184,1.5549999999999997,30.038000106811523,26.836000442504883,2.005,-0.004158175817581747,-0.0005515151515151812,1291.0,1291.0,1291.0,1291.0,1291.0,1291.0,1291.0
-1.299296406612732,0.20767640515424626,-1.4600077967872847,0.27890136207595884,-0.933169447782219,-0.40706637773911786,1920.0,1.924,3.097,422085.1617553711,2.2149333333333336,1.9289272727272757,1.5269999999999997,29.738000869750977,26.608999252319336,1.967,-0.0040311551155115454,-6.060606060609515e-05,1528.0,1528.0,1528.0,1528.0,1528.0,1528.0,1528.0
-1.7834253492799519,0.1783401579730991,-1.7435364059113536,-1.9203889693245355,0.14153627354795043,-4.830079896004548,1984.0,0.65,3.0860000000000003,178364.63479410807,0.9873727272727268,0.6500000000000014,0.0009999999999998899,30.7450008392334,26.97100067138672,0.65,-0.004976885688568849,-1.6641541452509725e-17,7877.0,7877.0,7877.0,7877.0,7877.0,7877.0,7877.0
-2.088891020275745,-0.25677389612606444,-2.1371599743907366,-2.595770834880531,-0.12476438840572934,-5.250216856533716,1984.0,0.65,3.1460000000000004,172834.33714599608,0.9917321212121214,0.6500000000000014,0.0,29.986000061035156,25.9950008392334,0.65,-0.005041428142814281,-1.6641541452509725e-17,6079.0,6079.0,6079.0,6079.0,6079.0,6079.0,6079.0
-0.8113475376351286,0.5988167606504476,-1.1262368636675177,0.21957218235717463,0.09898528231532165,-0.9269161205272322,2022.4000244140625,3.007,3.187,771237.9855957031,3.2822727272727272,4.337927272727263,3.1350000000000002,45.108001708984375,35.70800018310547,3.1165000000000003,-0.0035149054905490424,-0.01446060606060597,514.0,97.0,97.0,97.0,97.0,97.0,66.0
-0.9543512511253042,0.5359660260453531,-1.5428768807581212,0.0681671733678416,-0.003536143173898271,-0.8118986170884978,1971.199951171875,2.987,3.153,766004.0778727214,3.226698787878786,3.186654545454541,3.113,45.222999572753906,35.805999755859375,3.0795000000000003,-0.0029500750075007283,-0.0019878787878787546,257.0,257.0,66.0,66.0,66.0,66.0,66.0
-0.7463598219734345,1.1788416342897916,-0.8377092000762775,0.007390876689963372,0.36770693529877974,-1.3641235855397744,1996.800048828125,2.987,3.189,0.0,3.2748436363636357,3.1322000000000085,3.117,,,3.109,-0.003502448244824483,-0.0014666666666667614,514.0,172.0,172.0,172.0,172.0,122.0,61.0
-0.7610302787510652,1.1023623699939487,-0.8988599842906898,0.04230009629466722,0.32230425327560536,-1.258161359761556,2048.0,3.017,3.205,725135.1253333333,3.257820606060605,3.1665090909090883,3.1370000000000005,41.3849983215332,35.63600158691406,3.135,-0.002900606060606046,-0.0015090909090908922,197.0,197.0,197.0,5.0,5.0,5.0,5.0
-0.9489407570446855,0.8159580019561545,-1.08577037308533,0.04644963822736917,0.2650320403134213,-0.5418642722477636,2022.4000244140625,2.802,3.158,717980.782820638,3.130100606060605,3.048909090909091,2.626,55.132999420166016,35.65299987792969,2.969,-0.003735457545754545,-0.0025090909090909248,653.0,653.0,653.0,212.0,20.0,20.0,20.0
-0.7516679351497356,0.826453008879573,-1.0837086335962995,0.39032655638760627,0.34193801008489916,-0.5231002848404365,2022.4000244140625,2.801,3.1060000000000003,694818.4185302734,3.152465454545454,3.1115999999999993,2.469,55.15299987792969,36.13100051879883,3.0075000000000003,-0.0037351575157515676,-0.0029999999999999953,785.0,785.0,167.0,131.0,103.0,73.0,38.0
